transition_idx,from_frame,to_frame,time_s,from_state,to_state,behavior_active,zscore_DA
3860,3859,3860,570.0,0,3,,0.2395462252220992
3872,3871,3872,571.2,3,0,,0.3247048729770874
3883,3882,3883,572.3,0,3,,1.1705189340872484
3911,3910,3911,575.1,3,0,,1.1295698984186846
3932,3931,3932,577.2,0,2,,0.3940152594783361
3955,3954,3955,579.5,2,0,,-0.1978902088862818
3969,3968,3969,580.9,0,1,,0.0964322750033189
3978,3977,3978,581.8,1,3,,-0.2920466485542664
3999,3998,3999,583.9,3,1,,-0.2195520686712182
4006,4005,4006,584.6,1,3,,0.0110105085953249
4034,4033,4034,587.4,3,1,,0.841129596445572
4075,4074,4075,591.5,1,3,,0.7585729159167327
4088,4087,4088,592.8,3,1,,0.7630479780766146
4091,4090,4091,593.1,1,0,,0.9880476648699712
4094,4093,4094,593.4,0,2,,0.9710362815795706
4136,4135,4136,597.6,2,1,,0.6287347632575514
4148,4147,4148,598.8,1,2,,0.3611972836365134
4174,4173,4174,601.4,2,1,,0.4676619292863065
4188,4187,4188,602.8,1,0,,0.0140806067680515
4193,4192,4193,603.3,0,2,,0.1312812025780128
4201,4200,4201,604.1,2,0,,-0.2127879234629529
4212,4211,4212,605.2,0,2,,-0.0988349107266016
4222,4221,4222,606.2,2,0,,0.5480113477714279
4231,4230,4231,607.1,0,3,,-0.0701622931206629
4273,4272,4273,611.3,3,1,,0.1926036684446294
4284,4283,4284,612.4,1,2,,-0.176101293403631
4310,4309,4310,615.0,2,1,,-0.1473579393252349
4326,4325,4326,616.6,1,2,,-0.1477954556316112
4340,4339,4340,618.0,2,1,,1.3210895904108386
4351,4350,4351,619.1,1,0,,0.175362048908264
4357,4356,4357,619.7,0,2,,0.2566358572847388
4363,4362,4363,620.3,2,1,,0.3985308874446832
4370,4369,4370,621.0,1,2,,0.0780282669195963
4391,4390,4391,623.1,2,0,,3.090164670973599
4397,4396,4397,623.7,0,3,,1.974217716264285
4404,4403,4404,624.4,3,1,,0.6979331455922752
4416,4415,4416,625.6,1,2,,1.0803659920684807
4432,4431,4432,627.2,2,0,,1.0056720256297662
4437,4436,4437,627.7,0,2,,0.6274976307218824
4446,4445,4446,628.6,2,0,,0.59750110139985
4453,4452,4453,629.3,0,3,,0.5013070362357225
4466,4465,4466,630.6,3,1,,0.5500355250149612
4479,4478,4479,631.9,1,2,,0.035831929530928
4522,4521,4522,636.2,2,0,,-0.0964485434334015
4529,4528,4529,636.9,0,3,,0.1329174266823551
4566,4565,4566,640.6,3,1,,0.2935812094802085
4582,4581,4582,642.2,1,3,,0.3366074944265183
4589,4588,4589,642.9,3,1,,-0.323594753171202
4600,4599,4600,644.0,1,3,,-0.5894061872085689
4620,4619,4620,646.0,3,1,,-0.6311717959231709
4638,4637,4638,647.8,1,3,,-0.7825249700435917
4646,4645,4646,648.6,3,1,,-0.3383216309388172
4658,4657,4658,649.8,1,2,,-0.2712604147719662
4682,4681,4682,652.2,2,0,,-0.486557677568682
4688,4687,4688,652.8,0,3,,-0.6791045920958788
4700,4699,4700,654.0,3,0,,-1.3524279585623604
4739,4738,4739,657.9,0,2,,-0.1513293623143307
4752,4751,4752,659.2,2,1,,0.0099266123286198
4778,4777,4778,661.8,1,3,,0.0477583614975572
4808,4807,4808,664.8,3,1,,-0.0501966165077954
4814,4813,4814,665.4,1,3,,2.8287820498974847
4833,4832,4833,667.3,3,0,,2.508279487531286
4839,4838,4839,667.9,0,2,,1.532350741503302
4856,4855,4856,669.6,2,1,,0.928220181924452
4880,4879,4880,672.0,1,2,,0.0931134128830788
4895,4894,4895,673.5,2,1,,0.659847487647973
4927,4926,4927,676.7,1,3,,0.3226774836998659
4958,4957,4958,679.8,3,1,,2.6747337184455957
5004,5003,5004,684.4,1,3,,0.1925120906436238
5014,5013,5014,685.4,3,1,,-0.4411069026405745
5020,5019,5020,686.0,1,0,,-0.5569900042744692
5025,5024,5025,686.5,0,3,,0.0308451436288246
5034,5033,5034,687.4,3,0,,-0.3735329572875945
5059,5058,5059,689.9,0,3,,0.1393098188065811
5067,5066,5067,690.7,3,0,,-0.2351565883878626
5081,5080,5081,692.1,0,2,,0.6345330395288724
5090,5089,5090,693.0,2,1,,0.2207804372289474
5125,5124,5125,696.5,1,2,,0.0950583174503645
5137,5136,5137,697.7,2,1,,-0.2488275675515287
5144,5143,5144,698.4,1,3,,-0.6071526949252962
5179,5178,5179,701.9,3,0,,-0.2118669356726454
5221,5220,5221,706.1,0,2,,-0.1051098379281471
5267,5266,5267,710.7,2,1,,0.4698926026065217
5309,5308,5309,714.9,1,0,,-0.8738921573736563
5319,5318,5319,715.9,0,1,,0.1139662014804811
5371,5370,5371,721.1,1,2,,1.4018666967135684
5430,5429,5430,727.0,2,0,,-0.7347097610857766
5438,5437,5438,727.8,0,1,,-0.5700555123471777
5444,5443,5444,728.4,1,2,,-0.4267647782066192
5449,5448,5449,728.9,2,1,,-0.2290253610723159
5466,5465,5466,730.6,1,3,,-0.367221699798172
5473,5472,5473,731.3,3,1,,0.1562440118070221
5481,5480,5481,732.1,1,2,,0.1226996025428809
5509,5508,5509,734.9,2,1,,-0.7534065626013804
5541,5540,5541,738.1,1,3,,-0.0406593396021277
5575,5574,5575,741.5,3,1,,-0.818888142120649
5592,5591,5592,743.2,1,3,,-1.1863443360662067
5605,5604,5605,744.5,3,1,,-0.8952123091424056
5611,5610,5611,745.1,1,3,,-1.2560039490556998
5622,5621,5622,746.2,3,0,,-0.4737311777319355
5644,5643,5644,748.4,0,3,,-0.9390311662798274
5660,5659,5660,750.0,3,0,,-0.9113115485705748
5684,5683,5684,752.4,0,3,,-0.898102209161317
5709,5708,5709,754.9,3,0,,-0.2505721439269557
5716,5715,5716,755.6,0,1,,-1.060693631468567
5719,5718,5719,755.9,1,3,,-0.7585761013983898
5743,5742,5743,758.3,3,1,,-0.7683188327280567
5759,5758,5759,759.9,1,0,,-1.0756742980996097
5762,5761,5762,760.2,0,1,,-0.6069031350056504
5778,5777,5778,761.8,1,2,,-0.0931566998670353
5782,5781,5782,762.2,2,0,,-0.3942425753415944
5794,5793,5794,763.4,0,1,,-0.4094650412692454
5802,5801,5802,764.2,1,0,,-0.5357897981216319
5856,5855,5856,769.6,0,3,,0.064541309929523
5876,5875,5876,771.6,3,0,,-0.9479436233903636
5896,5895,5896,773.6,0,1,,-0.955193184060493
5923,5922,5923,776.3,1,0,,-1.6664265997058592
5947,5946,5947,778.7,0,2,,-0.5305257283658296
5981,5980,5981,782.1,2,0,,0.482844798027934
5995,5994,5995,783.5,0,2,,-0.2288332441415806
6001,6000,6001,784.1,2,0,,-0.116737861075544
