bout_phase,syllable,n,mean_DA,median_DA,std_DA,sem_DA
Novel-1,42,4,0.47030972247197333,0.6472437216938717,0.7225377939072827,0.36126889695364134
Novel-1,43,5,0.2687506979315222,0.2657313874496584,0.9133859159277841,0.4084785995410866
Novel-1,44,1,-1.0646851009372833,-1.0646851009372833,,
Novel-1,46,1,-0.08808898685948818,-0.08808898685948818,,
Novel-1,47,2,1.1067901355726373,1.1067901355726373,0.16245782241037907,0.1148750278831789
Novel-1,48,1,-0.021123473169257195,-0.021123473169257195,,
Novel-1,50,1,0.1203385246963838,0.1203385246963838,,
Novel-1,51,2,0.4177093828010775,0.4177093828010775,0.4016931129343706,0.2840399241118271
Novel-1,52,1,0.4994171666219886,0.4994171666219886,,
Novel-1,53,3,0.3764322794866226,0.452325537315234,0.45907434930101493,0.26504669914699325
Novel-1,55,2,1.5031468820077878,1.5031468820077878,0.5918259996384114,0.41848417762682794
Novel-1,56,1,-1.0024614160909264,-1.0024614160909264,,
Novel-1,57,1,0.28116447762164054,0.28116447762164054,,
Novel-1,59,1,-0.9722538729479633,-0.9722538729479633,,
Novel-1,60,1,1.7492283156818094,1.7492283156818094,,
Novel-1,61,1,-1.3511450894644867,-1.3511450894644867,,
Novel-1,62,1,0.6855676728135215,0.6855676728135215,,
Novel-1,64,3,0.7209667718429452,0.7880925822065723,0.42904923435141923,0.24771169094839474
Novel-1,66,2,0.8126381233951063,0.8126381233951063,0.49031864714494217,0.3467076403384026
Novel-1,67,1,1.3602620662250278,1.3602620662250278,,
Novel-1,68,2,0.4549682226920854,0.4549682226920854,0.25989614187319776,0.18377432432275914
Novel-1,70,2,0.7101493743497933,0.7101493743497933,0.8920093864794617,0.6307458860616791
Novel-1,71,2,-0.0076640907394820434,-0.0076640907394820434,1.2349021784405452,0.8732077044773494
Novel-1,72,1,-0.28073879606745766,-0.28073879606745766,,
Novel-1,73,1,1.3296665560707046,1.3296665560707046,,
Novel-1,74,1,0.21610079309469732,0.21610079309469732,,
Novel-1,77,2,-0.151746611054225,-0.151746611054225,0.8584616850520134,0.6070240788891088
Novel-1,78,2,-0.6960217621775385,-0.6960217621775385,1.1060570207098697,0.7821004197229384
Novel-1,82,3,0.6115110321673648,0.1521885055327165,1.1159116745131163,0.6442719056719938
Novel-1,84,2,-0.32440682526362485,-0.32440682526362485,1.0381488763022844,0.7340821103145395
Novel-1,85,2,-0.23783522755780784,-0.23783522755780784,0.8366604756475431,0.59160829588114
Novel-1,90,3,0.7148836434635166,0.5524379496600917,0.2984404012484783,0.17230464599786888
Novel-1,92,1,0.8368689358587676,0.8368689358587676,,
Novel-1,96,1,-0.07110525273233444,-0.07110525273233444,,
Long_Term-1,0,13,0.08293662538818698,0.0075068076902051325,0.43492607864109334,0.12062679058284195
Long_Term-1,1,13,0.011249176330352615,0.0024948400231104007,0.599815277997368,0.1663588262020152
Long_Term-1,2,13,0.2650668219497364,0.2761497998908937,0.4901112339515209,0.13593239882254893
Long_Term-1,3,13,0.01667084691095981,0.06659949414107502,0.49097005546386807,0.13617059305325963
Long_Term-1,4,13,0.2246702237642582,0.18570999195454538,0.548415259149638,0.15210302593160704
Long_Term-1,5,13,-0.009063271794080584,0.030147208580275718,0.5948138201299972,0.1649716713717938
Long_Term-1,6,12,0.29364224980903847,0.33883780138443753,0.4231872863829834,0.12216364685542137
Long_Term-1,7,13,0.02330619793903972,0.05618848898049867,0.5228561573493521,0.14501420653962743
Long_Term-1,8,13,0.021455229957638416,0.2012650395516737,0.6444007469626902,0.17872461039394424
Long_Term-1,9,12,0.1674822547842898,0.11558300140464049,0.5937173427141319,0.17139143381927668
Long_Term-1,10,13,-0.072012354873604,-0.13929650841853722,0.42102825863210197,0.11677222883979675
Long_Term-1,11,12,0.004014423022169329,0.1133762114897075,0.8342044889768309,0.24081409313498375
