mouse_identity,time_s,zscore_DA,behavior_active,distance_head_res__head_int,distance_head_res__hind_int,distance_head_int__hind_res,distance_hind_res__hind_int,angle_head_res__head_int_deg,angle_head_res__hind_int_deg,angle_head_int__hind_res_deg,velocity_resident,velocity_intruder,hmm_state,hmm_state_smoothed
n5,1315.2,-0.4989212726434132,,4.671638180899444,6.744260556910213,6.00255651411018,7.323918759190444,2.407308667601683,54.34983666706288,8.718054111238729,1.365325149055802,0.9223565990282576,2,2
n5,1315.3,-0.4360980657698689,,5.075633843952594,7.123701808302789,5.909807994970616,7.2723344383770305,18.894254894289503,40.95356156505591,26.36138937216728,1.6050832701897864,0.3747738338742348,2,2
n5,1315.4,-0.3381470530654525,,5.470984976364247,7.4861243347019615,5.805124399542426,7.174088187185607,39.40981510125786,25.73451516513245,42.13653326165226,1.5721940877653378,0.165920074309213,2,2
n5,1315.5,-0.2911121489972966,,5.868737761169494,7.756676648191891,5.725630512877937,7.006075191458036,55.62317529795075,10.686034422636766,54.876314320889946,1.412919452784901,0.3972161094529794,2,2
n5,1315.6,-0.215372082662677,,6.215492816390925,7.9277218648273715,5.7089672988837865,6.854414825411826,71.47513928561855,7.584562986583649,65.29303649785305,1.4335276041393925,0.4774093211702961,3,3
n5,1315.7,-0.0459554962729406,,6.664100632770741,8.146497637570972,5.729857446363856,6.652976035057459,87.28886018673595,29.62505227303899,76.8222842349013,1.1560344781019392,0.5034740428259681,3,3
n5,1315.8,-0.0839561117028134,,6.864069529032294,8.027043881565294,5.748401273232737,6.380585486466389,96.94416351704382,49.53500051330576,84.44041608979586,0.7227227268759774,0.549184965686965,3,3
n5,1315.9,-0.243057690656976,,7.00966654818535,7.706561661615221,5.838280772361821,6.059024718529921,98.78293161838732,66.54571554880378,89.86129228286131,0.6187253770584107,1.0223255234889783,3,3
n5,1316.0,-0.2594291334257652,,7.502991835668627,7.554088625149526,6.04185483677808,5.725412956589713,100.1903263326292,83.4205143253559,94.08394132099944,0.4320337063751538,2.025262138614024,3,3
n5,1316.1,-0.2446401063454232,,8.067426383082129,7.41617226978602,6.307325881559778,5.416339798273378,104.72734248641616,98.45366657685258,99.17264792381678,0.2093388629792496,2.843739681908006,3,3
n5,1316.2,-0.294975930725206,,8.661624226121292,7.306369353626479,6.645173173097326,5.1483168827199135,108.67211738360209,108.03834085692736,103.62211002194408,0.0896053275342521,3.596600752575476,3,3
n5,1316.3,-0.2605243389418333,,9.402671664830825,6.9754262431497045,7.1925008892941,4.729344473422968,112.7802063948945,115.40480072479316,108.29560558910735,0.2323816193702678,4.226549818218794,3,3
n5,1316.4,-0.1839535749142292,,10.001065642384953,6.986539358726803,7.646964153089424,4.663242869570727,113.70406633177902,118.13870517775108,109.83690136274843,0.402454707903096,4.580230075668062,3,3
n5,1316.5,0.0146970000819807,,10.567910607954616,6.98568075548487,8.107149296022884,4.61425569659567,116.3745709031704,121.57562196554537,112.77238775093502,0.6144297264767984,4.866847805220603,3,3
n5,1316.6,0.116015072397945,,11.100436745597976,7.001454002391039,8.6030937852,4.599442405341269,119.30311933017086,123.52841660646132,116.02876162904,0.7542889275080229,4.940042003227514,3,3
n5,1316.7,0.3620815913196175,,11.59410270691983,7.039852219008874,9.14451154476713,4.63293608073768,120.80233686330304,123.278969627912,117.92410359235625,0.7850890564019801,4.851418601766577,3,3
n5,1316.8,0.559656292750908,,12.055943456568125,7.168425379183047,9.646176460920138,4.700058570011608,120.44661608950896,121.08389015908467,118.68485230294294,0.7692198268093245,4.70772787205564,3,3
n5,1316.9,0.3529654005214915,,12.448042186874902,7.394584317173532,10.102729368785203,4.859342812835309,117.64400498385136,117.78419541343568,116.89051332433036,0.7231202169694045,4.367381022056127,3,3
n5,1317.0,0.1673369466312821,,12.717476952434492,7.752969369714404,10.457250790158346,5.1720101285589966,113.01800472945077,113.45099731112644,113.43643317121052,0.627957553218504,3.686712231219039,3,3
n5,1317.1,0.0559045598108507,,12.842387493823736,8.173833878997861,10.656776722781936,5.528438740789806,106.8689315094342,108.7297499713696,107.94501178474212,0.5270337624158025,2.8376367872153847,3,3
n5,1317.2,-0.1766684400482951,,12.808174275500065,8.614376069842052,10.72907988698364,5.953661439886927,97.98695672514592,102.74037645640968,99.827859608992,0.4381415076165597,2.0422269257009185,3,3
n5,1317.3,-0.2996401360933787,,12.628042308479513,9.089739709507484,10.663531628179198,6.446342692382704,86.00797164803558,95.19300035348851,88.45763124207315,0.3549182145745823,1.2317542154713896,3,3
n5,1317.4,-0.3929659577971933,,12.289054835418368,9.60262832411152,10.38647877370304,6.955372647419411,68.2531983607138,85.05583796124964,71.31537170875646,0.2497242198239129,1.0301728640054382,3,3
n5,1317.5,-0.518036268552153,,11.739342031573994,10.158459018729904,9.916510174140097,7.519104185698707,36.51082269837224,65.99857039096143,40.0066466678569,0.3500146048314536,1.7018606395625804,3,3
n5,1317.6,-0.6391289409651599,,11.238293493173163,10.677725042126152,9.46568941403932,7.971943127750652,10.845003865928843,40.783399541602506,14.256208535742104,0.3946639530162094,2.143676353206117,2,2
n5,1317.7,-0.6234446652470527,,10.693163795230095,10.97137442123818,9.016515543116896,8.191891970413362,3.598365008085296,20.681745402118167,0.2908662430945696,0.2331797694193051,2.382696281604969,2,2
n5,1317.8,-0.5124947906108177,,10.179853722096542,11.22577360030208,8.613060988877926,8.405782232903137,10.74798678685474,7.786202056510433,7.920180135204646,0.1021904060309011,2.546248478510343,2,2
n5,1317.9,-0.5237746963738721,,9.711426869353131,11.390684814892474,8.284939976693177,8.569020972146276,14.673779371747258,0.179478222471431,12.000527140320145,0.104151221711397,2.9291126955693785,2,2
n5,1318.0,-0.5422101919004415,,9.252758959133311,11.472050319428645,7.985088555907941,8.665563403700078,17.194545462453902,5.727927983742717,14.512659704566316,0.0875605565848815,3.357699686359741,2,2
n5,1318.1,-0.4646050272201972,,8.837890048936513,11.461930838493608,7.712142367030363,8.667332613389963,19.24677033364921,9.718132350273038,16.2501915752475,0.0528601081057206,3.452698372045509,2,2
n5,1318.2,-0.3057486702691703,,8.51491822011726,11.367671994505402,7.487693194232714,8.604362216722691,21.93469308729047,12.355040869083382,19.174161430816923,0.0188406005425521,2.9854243304467216,2,2
n5,1318.3,-0.1321706880678358,,8.338098514905619,11.26561451672542,7.372899341025617,8.563532690846706,23.553222556480733,14.178276648851975,20.906122286299308,0.029675481215717,2.129750571622926,2,2
n5,1318.4,0.1694330937920279,,8.305553953369241,11.196604635145128,7.34045572597227,8.565090497046551,24.828970622497422,15.866409398827727,22.15403045080012,0.0453605402525272,1.411232732281908,2,2
