transition_idx,time_s,from_state,to_state,behavior_active,zscore_DA
6951,946.7,0,3,,0.1820103839814361
6969,948.5,3,0,,-0.5351399253555862
6979,949.5,0,3,,-0.4511574151282235
6987,950.3,3,2,,0.4356511402951223
6992,950.8,2,3,,-0.4482189848416349
7004,952.0,3,2,,-0.3509752215742372
7010,952.6,2,1,,-0.4193944434849869
7014,953.0,1,3,,-0.2633086775284268
7035,955.1,3,2,,0.1357909537064347
7049,956.5,2,3,,-0.47892916985208
7057,957.3,3,2,,-0.4547936327936465
7079,959.5,2,3,,-0.2385443075977126
7122,963.8,3,0,,-0.1126032450159885
7131,964.7,0,3,,-0.1479119370032282
7139,965.5,3,2,,-0.2226877593991286
7153,966.9,2,1,,-0.4889776591356958
7161,967.7,1,2,,-0.3406595276699781
7181,969.7,2,3,,-0.7678440746851863
7250,976.6,3,0,,-0.2201693312607562
7267,978.3,0,1,,-0.1388259002646201
7278,979.4,1,2,,0.6276752168530497
7291,980.7,2,3,,-0.2786811965789634
7308,982.4,3,0,,-0.6321714101000528
7317,983.3,0,3,,-0.61707255664481
7326,984.2,3,2,,0.5595171297776569
7331,984.7,2,3,,0.5091084185673073
7335,985.1,3,1,,0.6398272028076029
7354,987.0,1,2,,-0.4706139400140842
7406,992.2,2,3,,-0.3636317893686535
7413,992.9,3,0,,-0.7064672805506085
7419,993.5,0,3,,-0.6989604224408329
7436,995.2,3,1,,-0.0554976158896085
7469,998.5,1,2,,-0.1295805110086814
7478,999.4,2,1,,-0.1695269482219153
7481,999.7,1,3,,-0.3371586520067645
7485,1000.1,3,0,,-0.3261099222586435
7491,1000.7,0,3,,0.2642984413559992
7499,1001.5,3,0,,-0.2284141439337874
7504,1002.0,0,3,,-0.2590131670592401
7519,1003.5,3,0,,-0.4939841707339776
7522,1003.8,0,3,,-0.6370231011729812
7527,1004.3,3,2,,-0.8289945920647713
7537,1005.3,2,3,,-0.4106101683206078
7541,1005.7,3,2,,-0.5470180070455316
7559,1007.5,2,1,,-0.6653482422915976
7576,1009.2,1,0,,-0.0300879647866927
7580,1009.6,0,3,,0.0784075292762597
7596,1011.2,3,0,,0.3434851694467319
7604,1012.0,0,3,,0.2521201001425756
7634,1015.0,3,2,,0.0523426574867809
7641,1015.7,2,3,,-0.5999750066018825
7647,1016.3,3,0,,-0.3813054436084034
7658,1017.4,0,3,,-0.4791720389112343
7671,1018.7,3,2,,-0.6404875825314578
7696,1021.2,2,3,,-0.1444811922847101
7708,1022.4,3,2,,-0.7864446113206467
7766,1028.2,2,3,,-0.0601721072570514
7771,1028.7,3,0,,-0.5019709658983375
7813,1032.9,0,1,,-0.7203891412456963
7823,1033.9,1,2,,-0.0821283653862862
7842,1035.8,2,3,,0.3913322602026809
7862,1037.8,3,2,,-0.5495643562553738
7867,1038.3,2,3,,-0.825527181659038
7878,1039.4,3,0,,-0.97576463918577
7938,1045.4,0,1,,-0.5447134132953967
7980,1049.6,1,2,,-0.2698343339081174
7987,1050.3,2,1,,-0.6763487486692104
7994,1051.0,1,0,,0.237752553292041
8005,1052.1,0,1,,-0.5093979084957092
8012,1052.8,1,2,,-0.638229584535537
8025,1054.1,2,3,,1.5120781613854712
8028,1054.4,3,0,,0.5419180373416371
8032,1054.8,0,3,,-0.0053821029974092
8057,1057.3,3,0,,-0.4711304958090715
8095,1061.1,0,3,,0.1876369188333342
8115,1063.1,3,1,,-0.1330738103404393
8129,1064.5,1,2,,-0.8112919457140381
8148,1066.4,2,1,,-0.5090768811285167
8158,1067.4,1,0,,-0.7041004766687978
8185,1070.1,0,3,,0.0397669235712748
8199,1071.5,3,2,,-0.5744491751145285
8203,1071.9,2,3,,-0.2487900106493712
8207,1072.3,3,0,,-0.0601100824035637
8229,1074.5,0,3,,-0.1466661506052044
8240,1075.6,3,0,,-0.1705114587553778
8246,1076.2,0,3,,-0.1947282986833097
8263,1077.9,3,0,,-0.4583635573494072
8273,1078.9,0,3,,-0.2248126383604202
8287,1080.3,3,2,,-0.6691930723228086
8295,1081.1,2,1,,-0.9361819486053
8300,1081.6,1,0,,-0.8010877584763921
8312,1082.8,0,1,,-0.4409534387974225
8346,1086.2,1,2,,-0.6601348231741189
8395,1091.1,2,1,,0.3606359782829227
8409,1092.5,1,2,,-0.7324914474329061
8418,1093.4,2,1,,-0.4620221527467239
8425,1094.1,1,0,,0.0727890838892358
8433,1094.9,0,1,,-0.5935427306440695
8451,1096.7,1,0,,-0.3808278087704773
8456,1097.2,0,3,,-0.6236866750497865
8471,1098.7,3,0,,-0.4781857950680815
8476,1099.2,0,3,,-0.6461185916527765
8497,1101.3,3,0,,-0.8056128238771689
8501,1101.7,0,3,,-0.6463983150157517
8510,1102.6,3,2,,-0.8310983942870482
8520,1103.6,2,1,,-0.6204267098601347
8535,1105.1,1,0,,-0.4170059528446184
8552,1106.8,0,1,,-0.7455742535954571
8559,1107.5,1,0,,-0.5552571163986776
8588,1110.4,0,3,,-0.587090657913623
8600,1111.6,3,2,,-0.469164435989765
8621,1113.7,2,1,,-0.8151309020730166
8631,1114.7,1,2,,-0.1184673279945878
8646,1116.2,2,1,,-0.1086299531021276
8688,1120.4,1,2,,-0.1962343795589113
8704,1122.0,2,1,,-0.3169398837584209
8716,1123.2,1,2,,-0.0565024171709214
8740,1125.6,2,1,,-0.7126958779863576
8754,1127.0,1,2,,1.7472530077283197
8769,1128.5,2,1,,0.7953810965112648
8798,1131.4,1,2,,0.1763275804258707
8843,1135.9,2,1,,-0.7954564010717127
8879,1139.5,1,0,,-0.4945154145843184
8899,1141.5,0,3,,0.4392563163249787
8911,1142.7,3,1,,-0.3452048056280802
8927,1144.3,1,0,,-0.8062320327218826
8937,1145.3,0,3,,-0.8290488833015012
8970,1148.6,3,2,,0.4155005442986998
8986,1150.2,2,3,,-0.3695093851453069
8989,1150.5,3,0,,-0.1913269924455775
8992,1150.8,0,3,,0.1500003883474735
8997,1151.3,3,2,,1.858364505302186
9002,1151.8,2,1,,0.8185431066439075
9024,1158.0,1,0,,-0.6048339325106984
9038,1159.4,0,3,,-0.036485181326405
9044,1160.0,3,0,,-0.462467883980342
9051,1160.7,0,2,,-0.4445014544362596
9069,1162.5,2,0,,-0.14444559613666
9076,1163.2,0,3,,0.2237607728408848
9080,1163.6,3,0,,0.2099022832904922
9085,1164.1,0,3,,0.1814364105334317
9093,1164.9,3,2,,0.9132980982377984
9117,1167.3,2,1,,0.5706253995022273
9123,1167.9,1,3,,0.6913737447325266
9126,1168.2,3,0,,0.4006080213521252
9141,1169.7,0,3,,-0.5763271593644653
9160,1171.6,3,0,,0.0797719408573263
9165,1172.1,0,3,,0.0114797771208
9177,1173.3,3,2,Investigation,1.3031013056590328
9187,1174.3,2,1,Investigation,6.549653785382488
9204,1176.0,1,2,Investigation,1.2545771634207628
9212,1176.8,2,1,Investigation,3.062339981842585
9216,1177.2,1,0,Investigation,3.977464975327005
9224,1178.0,0,3,,2.9391416610260537
9227,1178.3,3,0,,2.06055840197674
9233,1178.9,0,3,,1.7931778642597995
9246,1180.2,3,0,,0.3353484170248774
9265,1182.1,0,3,,1.298527813532789
9276,1183.2,3,0,,3.3588030993310785
9304,1186.0,0,2,,0.2614008889081015
9312,1186.8,2,3,,1.459468535619566
9328,1188.4,3,0,,0.9355140745956636
9333,1188.9,0,3,,1.4626265531742209
9344,1190.0,3,0,,0.5856019783343515
9355,1191.1,0,1,,0.3076138037649811
9369,1192.5,1,2,,1.4377219117086766
9376,1193.2,2,1,,0.6484842273354067
9380,1193.6,1,0,,0.306296795287872
9465,1202.1,0,1,,0.8319895258408174
9490,1204.6,1,0,,0.7731052498423913
9495,1205.1,0,1,,0.2398608896786863
9512,1206.8,1,0,,-0.0606680437860944
9519,1207.5,0,3,,-0.381558366679542
9533,1208.9,3,2,,0.3299300412794223
9549,1210.5,2,1,,-0.3439114597298798
9572,1212.8,1,0,,0.4591511924215865
9602,1215.8,0,3,,0.3805634093749087
9612,1216.8,3,0,,0.4061381609238173
9622,1217.8,0,1,,1.6805556816936145
9649,1220.5,1,2,,0.4911971039139227
9659,1221.5,2,1,,-0.0245571559007164
9663,1221.9,1,2,,-0.0653662284372431
9672,1222.8,2,1,,-0.2417996359400829
9683,1223.9,1,2,,-0.1106934858127575
9715,1227.1,2,3,,1.1634996186817912
9732,1228.8,3,2,,1.1538052644176644
9740,1229.6,2,3,,1.6501303798437983
9757,1231.3,3,2,,1.7558548738077722
9809,1236.5,2,3,,0.6102085890838682
9825,1238.1,3,0,,-0.3650047431741283
9858,1241.4,0,3,,-0.0905487861861244
9867,1242.3,3,2,,-0.6364047999088527
9873,1242.9,2,3,,-0.4431212353968645
9888,1244.4,3,0,,-0.3454207212186332
9894,1245.0,0,1,,-0.1562300488572236
9904,1246.0,1,2,,0.1398193550791389
9947,1250.3,2,1,,-0.6775424506704124
9954,1251.0,1,2,,0.0960539067649777
9964,1252.0,2,1,,-0.6064987666200302
9973,1252.9,1,2,,-0.0110987465034691
10005,1256.1,2,3,,0.0338257824439697
10017,1257.3,3,0,,-0.5043761917458777
10032,1258.8,0,1,,-0.5656450641943338
